国家（中文）,国家（英文）,公司名称,@type,foundingDate,numberOfEmployees,name,description,json_url
沙特阿拉伯,Saudi Arabia,Midad Holding,Organization,2007.0,,Midad Holding,Midad Company is a reputed and reliable provider of best-in-class products and services to the oil & gas  refining & petrochemical  power & water  and public industries. The Company is headquartered in Al Khobar  Saudi Arabia with offices and plants throughout the Kingdom.  Our team’s association and experience with the main energy players  security clients and major financial institutions gives it a profound and exceptional insight of the business opportunities available.  We Are Strong in ethics and compliance. Are Technology driven. Have a Track record of investment  operation  services and manufacturing.  Have Operational and Financial strength. Have a Strong Client multilevel relationship. Are IKTVA compliant and active.  Value: Integrity   Accountability  Safety  High Performance  Valuing People  Teamwork and Environmentally Responsible  Vision:: To be a leading provider of best-in-class services  high-quality products with a focus on the development and deployment of new technologies.   Mission: To establish industries and services through grass-root projects & private equity acquisitions  create value for our shareholders  develop strategic alliances  transfer technology  and create employment opportunities while maintaining the strongest commitments to quality  safety  social responsibility and environmental preservation.   Business Model and Strategy Investment and Project Development Platform to create game-changing local companies and build JVs with global leaders.  Innovate technologies  increase local content and develop competent human capital.  Trading and representation vehicle to provide solutions to our clients while building relationships with global companies.  Hands-on management of subsidiaries  providing financial  operational and strategic support.  Growth – organic and through acquisitions.  Strong shareholders support opens doors to equity funding  private placements  low-cost and long-term debt funding.  ,
沙特阿拉伯,Saudi Arabia,Midad Oilfield Services Co.,Organization,,11-50,Midad Oilfield Services Co.,Midad oilfield Services is managed by a team of individuals with international and local experience who understand the challenges our customers are facing. Our commitment to high performance and safety leads us to get every job done rightly  efficiently  and safely the first time and every time. We implement this rigorousness business practice with a highly experienced team  the best equipment  and quality-driven processes to ensure total quality.,
沙特阿拉伯,Saudi Arabia,Middle East Specialized Cables (MESC),Organization,1993.0,501-1000,Middle East Specialized Cables (MESC),MESC Specialized Cables is the manufacturer of industrial  Instrumentation and processcontrol cables in addition to many other types of cables that are manufactured to international standards tested and certified by worldwide prestigious institutions. It is an ISO 9001:2000 and ISO 14001:2004 certified for all its activities right from the selection of raw material suppliers  schedule planning  production  testing up to the delivery of the cables.  Started as a common local manufacturing company in 1993 in line with the development and growth of the Oil & Gas Industry and built its factory in the Industrial Area of Riyadh- KSA. It knew along the years how to evolve to the structure of an international one  imposing its presence day after day on the international markets as one of the most reputed brand names in the Middle Eastern Cables industry to expand after that and have regional offices that cover the Middle East  GCC and North Africa Markets. It has presence in 14 countries and commercial activities throughout the world.,
沙特阿拉伯,Saudi Arabia,Mobil Oil,Organization,,,Mobil Oil,Mobil  previously known as the Socony-Vacuum Oil Company  is a major American oil company which merged with Exxon in 1999 to form a parent company called ExxonMobil,www.mobil.com
沙特阿拉伯,Saudi Arabia,Mohammad Al-Mojil Group MMG,Organization,1950.0,10001+,Mohammad Al-Mojil Group MMG,If Mohammad Al-Mojil Group’s quality of work  its contribution in the growth of oil and non-oil sector and its commitment to its clients could be summed up in one single adage then it will be suffice to say that “MMG is a symbol of growth and a promise for the future.  Driven by this philosophy  the founder  Sheikh Mohammad Al-Mojil  five decades ago while laying down the policy of the group  ensured that MMG kept pace with the growth and development of the Kingdom and continued to be relevant to the national and regional economy and remained a force to reckon with in oil and non-oil sector.  For almost 70 years  the Kingdom has continuously developed its role as a key energy provider to the world. MMG stood shoulder to shoulder with Saudi Aramco in its endeavors and executed some very crucial and prestigious projects.   For more than 50 years  MMG has shared a commitment to the oil  gas and petrochemical sector and has also shared the benefits associated with them  amongst the Saudi nationals  the residents and leading energy related companies from around the world.,
沙特阿拉伯,Saudi Arabia,Motion Lube / Sami Balubaid Automotive Lubricants Plant,Organization,2012.0,11-50,Motion Lube / Sami Balubaid Automotive Lubricants Plant,Sami Balubaid Automotive Lubricants are engaged in Lubricating Oil and Grease Business. We have our own Laboratory and Production Plant which works on research and development and quality control parameters located in Jeddah Saudi Arabia. We used 100% pure virgin Oils in manufacturing of Lubricating Oils in following Categorizes. 1) Diesel Engine Oils 2) Gasoline Engine Oils 3) Gear Oils 4) Industrial Gear Oils 5) Automotive Transmission Fluids 6) Compressor Oils 7) 2-Stroke Oils 8) Heat transfer Oils 9) Marine Oils 10) Greases,
沙特阿拉伯,Saudi Arabia,NEFT Energies Co.,Organization,2014.0,,NEFT Energies Co.,NEFT Energies was established in 2014 with the aim of becoming a leading Saudi service company supporting the local and international market with services that are made and created in Saudi through joint ventures and R&D initiatives.,
沙特阿拉伯,Saudi Arabia,NITI National Industrial Training Institute المعهد الوطني للتدريب الصناعي,Organization,2014.0,,NITI National Industrial Training Institute المعهد الوطني للتدريب الصناعي,National Industrial Training Institute (NITI) is a state-of-the-art institute that inspires passion for training excellence  world-class training programs  and human resources development.  NITI is an independent  not-for-profit training institute. It is the result of a strategic partnership between Saudi Aramco (SA) and the Technical & Vocational Training Corporation (TVTC) in accordance with a Memorandum of Understanding (MoU).  NITI  that is located in a land lot donated by Saudi Aramco in Al- Hasa  intends to train and qualify young Saudis in order to meet the market & industry needs  contribute to community growth  help reduce unemployment and support the Kingdom’s Saudization efforts.  NITI offers industrial training mainly to high school graduates to qualify them to work in the Oil / Gas  Petrochemical  Energy and Construction industries  in addition to their various related Services Companies NITI will sustain best-in-class quality standards  obtain international accreditation and will be targeted to become a benchmark and a model for training excellence for potential replication in the Kingdom of Saudi Arabia.,
沙特阿拉伯,Saudi Arabia,NTS Saudi Company Ltd,Organization,,,NTS Saudi Company Ltd,Specialsed in local manufacturing and repairs to non magnetic drilling tools.,www.ntsgroupco.com
沙特阿拉伯,Saudi Arabia,Naft Services Company,Organization,1987.0,1001-5000,Naft Services Company,Naft is a company operating in the field of gas station and car service in the Kingdom of Saudi Arabia. It was established in 1987  An oil company distributes petroleum products and service in the Kingdom of Saudi Arabia.,
沙特阿拉伯,Saudi Arabia,Nasser S Al- Hajri Corporration,Organization,1978.0,10001+,Nasser S Al- Hajri Corporration,Nasser S. Al –Hajri Corporation (NSH) established in 1978  has grown  not only as the largest but also as the safest working industrial contractor in the Middle East. Being a 100% Saudi Company  NSH work with all major international clients and the customer profile includes Saudi Aramco  SABIC & its affiliates   Qatar-Gas  Ras-Gas  ADNOC  Sipchem  Shell  Exxon Mobil  Total  Qatar Petroleum  Oryx-GTL  Dolphin Energy  Tasnee  Chemanol etc.. Recently NSH executed 2 major jobs for SABIC  simultaneously and achieved over 90 Million safe man hours. With its main head quarters based in Al - Khobar  Saudi Arabia  NSH has achieved a  GRADE A  rating as a general contractor by the Saudi Arabian government.  NSH provides meticulous construction and fabrication services to the full spectrum of the industrial and infrastructure work area including  but not limited to  commercial & heavy industrial buildings  oil  gas  refineries  petrochemicals  fertilizer  cement  power  desalination  aluminum   steel  and others. Repeat orders from the satisfied customers confirm the confidence reposed in us  due to the excellent service that NSH provides to them and stands testimony to all NSH services.,
沙特阿拉伯,Saudi Arabia,National Arabian Petroleum Services Company - NAPESCO,Organization,2008.0,,National Arabian Petroleum Services Company - NAPESCO,NAPESCO is a well-established API Licensed Saudi Arabian company  which is specialized in the supply of oilfield services and downhole equipment to the oil and gas industry. We provide “solutions  combining technology  experience and expertise in services such as Fishing & Remedial  Whipstock systems  Downhole Drilling Tools  which includes drilling jars  shock subs  reamers  and motors (PDMs). To compliment this we have the capability to provide a third party service for make/break services for most downhole tools.    Manufacturing capability of a wide range of tools and equipment such as : Pup Joints for Casing Pup Joints for Tubing Pup Joints for Drill pipes Crossover Subs Bit Subs Lift Subs Drill Collars Sleeve Stabilizers Circulating Subs Saver Subs – Bit breakers Weld Neck Flex Collars / Pony Drill Collars,
沙特阿拉伯,Saudi Arabia,National Energy Services Company (Tarshid),Organization,2017.0,,National Energy Services Company (Tarshid),The National Energy Services Company (Tarshid) was recently established as a key enabler to advance and improve energy efficiency services in the Kingdom. Tarshid was created out of a true collaborative effort  driven by the Saudi Energy Efficiency Program (SEEP)  local authorities  and leading international energy agencies  and was a successful translation of these efforts to create robust energy efficiency solutions in the Kingdom. The company tackles rising energy consumption in existing buildings and facilities.  Tarshid was issued a Royal Decree giving it the exclusive mandate to retrofit all public buildings and facilities in the Kingdom  which will transform the local energy efficiency market from an early growth stage to a thriving industry comprised of the most innovative and professional companies. Tarshid will also support the development of a commercial energy services market by building the capacity of local Energy Services Companies (ESCOs) and facilitating the establishment of the world’s leading ESCOs in the Kingdom through collaborating with key stakeholders such as the Ministry of Finance (MOF) and the Saudi Energy Efficiency Center (SEEC).  Tarshid is fully owned by the Public Investment Fund (PIF) and has set ambitious targets for implementing energy efficiency projects in buildings and facilities across the Kingdom.,
沙特阿拉伯,Saudi Arabia,Natural Gas Distribution Company (NGDC),Organization,2000.0,11-50,Natural Gas Distribution Company (NGDC),NGDC Established in the year 2000. Supply Riyadh industrial City with dry gas via around 40 KM underground pipeline network. Operation and maintenance of dry gas networks within Kingdom’s industrial cities.  ,
沙特阿拉伯,Saudi Arabia,Nesma Havatek Industrial Co. Ltd,Organization,2008.0,,Nesma Havatek Industrial Co. Ltd,Nesma-Havatek Industrial Co. Ltd. was established in 2008 as a joint venture company of Nesma Holding Co. Ltd.  Saudi Arabia  and Havatek Makina Sanayi ve Ticaret A.S. of Turkey. The company works closely with Nesma and Partners Contracting Co. Ltd.  which is the engineering and construction division for oil  gas  energy  and industrial related projects of Nesma Holding Co. Ltd. Nesma Havatek has established a state of the art manufacturing and assembly facility to support an ever growing industrial  petrochemical  and steel structure market in the Kingdom of Saudi Arabia  as well as in the Middle Eastern region.  The company’s facility is strategically located in Dhahran in the vicinity of the Saudi Aramco Headquarters building in the eastern province of Saudi Arabia. The facility  built in a covered area of 20 000 square meters  manufactures and assembles multi-size storage tanks  pressure vessels  integrated fuel stations  steel construction and piping systems  terminals and storage tank farms for petroleum products  fire fighting systems  and turnkey simple cycle power plants in compliance with international standards (TSE  ASME ‘U’ and ‘S’ stamp  EN  API  DIN  ASTM and BS).,
沙特阿拉伯,Saudi Arabia,Nesma Industrial Services,Organization,2014.0,11-50,Nesma Industrial Services,Nesma Industrial Services is one of the leading Industrial Services companies in Saudi Arabia. Nesma Industrial Services (NIS) is a reliable local player that companies can rely on to increase their IKTVA scores  and achieve their localization goals.  Nesma Industrial Services is comprised of personnel that come from the world’s three largest Oil & Gas service companies. With extensive experience in servicing the Middle East’s National Oil Companies (NOCs)  we have acquired the capabilities to:        Identify key decision makers  stake holders  and networks within the industry Understand the current local market and what technology is currently available and what is required.       Recognize the markets’ gaps and opportunities.       Contribute to the localization of many services currently being provided  adding the local requirements touch to it.,
沙特阿拉伯,Saudi Arabia,New Horizons Contracting and Maintenance Company,Organization,1998.0,,New Horizons Contracting and Maintenance Company,New Horizons Company (NHC) is an industrial services company based in Al Khobar  Saudi Arabia with branches in Yanbu and  Rabigh  NHC is a 100% Saudi Owned Limited Liability Company growing with 30% CAGR  Started as a JV with Ledwood Engineering UK in 1990 NHC Engages in the Business of EPC Contracts  Erection & Construction Contracts  Operation & Maintenance Contracts of Power  Oil & Gas  Refinery  Fertilizers  Cement & Utilities Plant  Serving Major Customers Within the Kingdom of Saudi Arabia  Viz. ARAMCO  SABIC  SEC  YASREF  SAMREF  MARAFIQ etc.   NHC is a certified Company with Integrated Management System (IMS) ISO 9001  ISO 14001  ISO 45001  Executed more than 50 Projects in the field of Oil & Gas  Petrochemical  Power  and Utility Plants with more than 350 skilled manpower  100+ Light & Heavy Equipment and Vehicles  NHC has its wide Domestic Business Presence in both Western ( Jeddah  Makkah  Rabigh & Yanbu) & Eastern   (Dammam  Jubail  Abqaiq  Shedgum & Uthmaniyah) Regions of the Kingdom. ,
沙特阿拉伯,Saudi Arabia,Non Oil Revenues Development Center,Organization,,11-50,Non Oil Revenues Development Center,مركز تنمية الايرادات غير النفطية,
沙特阿拉伯,Saudi Arabia,NoorEnergies - نور الطاقات,Organization,2020.0,1-10,NoorEnergies - نور الطاقات,Noor Energies Group Ltd provides energy and innovation solutions in maritime  commercial  retail and industrial sector. ,
沙特阿拉伯,Saudi Arabia,Oil Support Services (OSS),Organization,,,Oil Support Services (OSS),M/S Oil Support Services  also known as OSS  was established in 1979 responding to the needs of the oil  natural gas  petrochemical  power plant and heavy industries in the terms of providing the most important resources.  Oil Support Services is endeavor to supply qualified and professional manpower to meet the client’s needs and expectations in an extremely fast and efficient global recruiting result.   Since its founding year up to the present  Oil Support Services remains the trust of oil  gas  petrochemical  power plant and heavy industries exclusively in terms of pooling and selection of manpower  because it takes in mind the following factors:   - Finding the right person for the right position - Handling candidates efficiently - Transparent and reliable towards both candidates and companies - And with high administrative discipline.  Our Vision: To be the  Recommended Contractor  by oil and petrochemical companies in GCC countries to deploy various categories of Professional manpower.  Our Mission: To provide competent personnel required to support oil and petrochemical companies in the shortest time possible. Our priority is to completely satisfy our clients throughout a long-term business relationship.,www.oilserve.com.sa
沙特阿拉伯,Saudi Arabia,Oilfields Supply Company Saudi,Organization,1962.0,,Oilfields Supply Company Saudi,Oilfield Supply Company Saudi is a newly established Joint Venture company of the UAE owned Oil Fields Supply Center Ltd. which is a developer and operator of major Oil & Gas and Oilfield Services Supply Bases globally. In addition  the company owns and operates various subsidiaries that are into manufacturing of tools and equipment  specialized repair services and provision of related products and services. It caters to all major companies in the Oil & Gas and Energy market in the region and beyond.    Primary Business: 1- Developer and operator of state-of-the-art Common User Supply Bases in major Oil  Gas & Energy markets. 2- Provider of an extensive range of Operational  Logistical & Support Services for the Oil & Gas Industry. 3- Manufacturer and Trader of a wide range of Oil & Gas Tools & Equipment  and  provider of Oilfield Services  such as Repair Services  Machine Shop & Equipment Rental Services. ,
沙特阿拉伯,Saudi Arabia,Olayan Descon Industrial Company,Organization,,1001-5000,Olayan Descon Industrial Company,Established in 1981  Olayan Descon is a joint venture between Olayan Saudi Holding Company and Descon Engineering Limited. Olayan Descon’s capabilities combined with a diversified and rich experience of the two JV partners  distinguish it as Integrated Engineering & Industrial Services Company being fully capable of handling medium to large size projects and achieving par excellence in Engineering Standards,
沙特阿拉伯,Saudi Arabia,Orange Gas Station Company,Organization,,,Orange Gas Station Company,,www.orangeretail.com
沙特阿拉伯,Saudi Arabia,PETROBLEND MIDDLE EAST,Organization,2012.0,11-50,PETROBLEND MIDDLE EAST,PETROBLEND Oilfield Supplies is a leading distribution and supply chain management company that serves a diverse customer base globally with a strategic sourcing team offering a comprehensive range of products designed to support the upstream and downstream markets of the O&G industry.,
沙特阿拉伯,Saudi Arabia,PETROZONE INTERNATIONAL,Organization,2012.0,11-50,PETROZONE INTERNATIONAL,We would like to introduce our service for Quality Inspection/Quality Surveillance Survey and Expediting. Petrozone International is a leading knowledge based asset integrity management company of international standards  dedicated to provide seamless performance to corporations in the Oil & Gas  Power  Chemical and other major industries .We imagine and accomplish on behalf of our clients  by harnessing over the years of customer service and the collective talents of thousands of global professionals to optimize asset from start to finish. The result is nothing but reduced risk improved environmental performance unconditional safety and Operational excellence These factors that ensure customers uninterrupted productions at any site  around the world. The Customer can expect from us fruits gathered from a wide field of studies and wealth brought by the minds trained in the difficult exploration of knowledge. If you are interested in start to finish asset optimization service performed by highly dedicated people who want nothing more than to partner with you to meet or exceed your needs  then you are invited to become a confederacy of Petrozone .We would like to think and do for you. Our Inspectors are stationed in Most of the Major cities in Kingdom of Saudi Arabia and worldwide location with minimal overhead expense for clients.  Our Service: Vendor Inspection/Quality Survey. Field & Desk Expediting. Project Inspection. Professional Human Resource Supply,
沙特阿拉伯,Saudi Arabia,POSH Saudi Co. Ltd.,Organization,2016.0,,POSH Saudi Co. Ltd.,POSH Saudi Co. Ltd. was formed in 2016 as a joint venture between PACC Offshore Services Holdings Limited (POSH) and Hmood Al-Khalaf Group with the vision to be the best-in-class service provider in the Kingdom of Saudi Arabia.  POSH is the largest Asia-based international operator of offshore support vessels and one of the top five globally. With a young and diverse fleet of over 100 offshore vessels servicing multiple segments of the offshore oil and gas value chain  we are known as a best-in-class service provider with a well-earned reputation for operational excellence  teamwork  integrity  accountability  safety and market focus.,www.poshsaudi.com
沙特阿拉伯,Saudi Arabia,PPE International LLC,Organization,2021.0,11-50,PPE International LLC,PPE International LLC is a manufacturer and supplier of high performance elastomer sealing solutions into critical oil and gas applications.   Our sealing specialists serve the upstream  midstream and downstream sectors of the global oil and gas industry strategically  with technical and manufacturing capabilities in KSA  as well as support facilities in the UK and United States.,prepol-sa.bespoke-demo.co.uk
沙特阿拉伯,Saudi Arabia,Pan Gulf Holding,Organization,1978.0,1001-5000,Pan Gulf Holding,In 1978  Mr. Fahad Al-Saja and Mr. Khaled Al-Hamdan laid the foundation of Pan Gulf Company with the specific aim of providing quality products and efficient services to the oil and construction sectors. The unique combination of practical experience  business management  research and design have provided the foundations for Pan Gulf to spread from our original Dammam base to service the entire Kingdom of Saudi Arabia in such fields as steel  building and plumbing materials  food stuffs  steel fabrication  valves & piping systems  Fire Safety & security   welding solutions and custom made Grating fabrication products. Our impressive client list includes Saudi ARAMCO  SABIC Industries  major contractors and fabricators. Pan Gulf have seized the opportunity of an expanding economy and strategically diversified into major divisions & affiliate Companies  employing many highly professional and skilled staff. Our position today has been attained by maintaining our strong commitment to excellence in everything we do  by professional people providing an efficient service  through the supply of quality products and constant innovation with our client s needs paramount.,www.pangulfholding.com
沙特阿拉伯,Saudi Arabia,Pan Gulf Industrial Investment,Organization,1978.0,1001-5000,Pan Gulf Industrial Investment,Pan Gulf Industrial Investment (PGII) is a leading industrial investment and manufacturer company based in Saudi Arabia. It consists of eight subsidiaries specialized in Steel industry  welding solutions  piping systems  industrial solutions & fabrications  and valves manufacturing & services.  PGII is an independent company that has emerged from Pan Gulf Holding (PGH) to form company for investment and industrial companies. PGH was established in 1978 by Mr. Fahad Al-Saja and Mr. Khaled Al-Hamdan with the specific aim of providing quality products and efficient services to the oil and construction sectors.,www.pgiic.com
沙特阿拉伯,Saudi Arabia,Pan Gulf Valve Services Co. Ltd.,Organization,,,Pan Gulf Valve Services Co. Ltd.,Pan Gulf Valve Services Co. Ltd.  (Valvserve) is the specialized services division of Pan Gulf Industrial Investment.  Valvserve has wide maintenance expertise with a team of experienced engineers and technicians skilled in valve  actuator and pipeline related disciplines. Including an in-depth understanding of plant systems and materials technology. The main workshop is based in Jubail Industrial City  Saudi Arabia where we offer response levels to cover for both planned shutdown and plant emergency or breakdown cover.   There are two other workshops  one is based in Yanbu to cover the Western Region of Saudi Arabia and the other is based in our new workshop in Bahrain.   Valvserve provide full in-line  on-site and workshop valve and actuator repair services and maintenance programs for all types  brands  sizes  materials  pressures and operating conditions. * Process Valves i.e. Gate  Globe  Check  Butterfly  Ball  Plug etc. * Control Valves * Safety Relief Valves including Online Testing * Actuators  Valvserve also provide a full range of Pipeline Intervention and other planned  or emergency  plant maintenance services  * Hot Tapping  * Line Stopping  * Bolting Services * On-site Machining * Online Leak Sealing * Online Flushing and Greasing  We are approved  in ARAMCO  SABIC  MARAFIQ  MASHRIQ  SWCC   SAUDI ELECTRIC    MINISTRIES along with all of the major EPCs  consultants and contractors.,www.valvserve.com
沙特阿拉伯,Saudi Arabia,Peak Energy Equipment Rental,,,,,,
沙特阿拉伯,Saudi Arabia,PetroApp,,,,,,
沙特阿拉伯,Saudi Arabia,PetroSal,,,,,,
沙特阿拉伯,Saudi Arabia,Petroleum & Energy Logistics and Services Co. (PETROGISTIX),,,,,,
沙特阿拉伯,Saudi Arabia,Petroleum Platforms for Energy Co.,,,,,,
沙特阿拉伯,Saudi Arabia,Petroleum and Energy Trading Services Co. (PETSE),,,,,,
沙特阿拉伯,Saudi Arabia,Petroleum and Natural Gas Higher Institute of Technology and Training,Organization,2013.0,,Petroleum and Natural Gas Higher Institute of Technology and Training,The Petroleum and Natural Gas Higher Institute of Technology and Training is the first institute in the Kingdom of Saudi Arabia that offers technical education and training in the fields of petroleum and natural gas exploration technology. The Institute is a partner of the government in the development of the Saudi human resources and in meeting the vital needs for qualified and well-trained Saudi people to work in these fields. The Institute offers technical and continuing education programs which are not covered by other educational institutions. These programs cover a wide range of technical professions in the exploration  drilling  production  processing  transportation  and maintenance in the oil and gas industry. Great emphasis is given to technical knowledge  practical training and professional skills. The Institute aims to share in the vision and objectives of companies involved in the oil and gas industry. The Institute appreciates the companies’ contribution in specifying their needs which are valuable inputs in the assessment and improvement of its programs and courses. In addition  the quality of student field training is enhanced through the Institute’s interaction with these companies. The Institute is working in collaborative efforts with the Saudi Human Resources Development Fund and the Prince Mohammed Bin Fahd Program for Youth Development  which will contribute in financing the training programs of young Saudis to be qualified for employment in the oil and gas technical jobs.,
沙特阿拉伯,Saudi Arabia,Petromaster Limited,Organization,2008.0,,Petromaster Limited,Based in Alkhobar  Saudi Arabia  We provide a total system approach for assuring the integrity of industrial assets utilizing latest technologies  integrity programs  and innovative solutions.  We have teams of experts around the World available to provide specialized business solutions that align with client needs. The company works through a corporate model of core staff and a pool of internationally known technical experts with practical experience  background and expertise in asset integrity.  We support industry in the Oil & Gas as well as the Petrochemical  Power & Water Desalination fields  to achieve their production targets safely and efficiently through assuring the integrity of their assets.,
沙特阿拉伯,Saudi Arabia,Petromin Corporation,Organization,1968.0,1001-5000,Petromin Corporation,Petromin Corporation was formed in 1968 by a Royal Decree. On the date of its inception  the company s name was Petromin Lubricating Oil Company (Petrolube) which was one of the joint ventures of the General Organization of Petroleum and Minerals (Petromin).    The company was renamed as the Saudi Arabian Lubricating Oil Company in 1997. Since 2008  the company is now simply called Petromin Corporation  a subsidiary of Al-Dabbagh Group.  Within the 45 years  since its inception  Petromin Corporation has continually expanded and grown in manufacturing capacity and product development. Striving always to remain on the forefront of technology  by keeping its products abreast with all original engine manufacturer (OEM) approvals and keeping up with American Petroleum Institute (API) and other worldwide entities  performance levels and specifications for their products. Today  Petromin Corporation produces over 150 different products  is the market leader in the Kingdom of Saudi Arabia  exports to over 35 countries in the GCC  Middle East  Africa and Asia.   Petromin Corporation currently employs 1900+ employees representing more than 20 nationalities. With its Head Office in Jeddah  the manufacturing plants are located in Jeddah and Riyadh and it has sales and distribution facilities across the Kingdom as well as offshore branches are in Egypt  UAE  Sudan and Pakistan.,
沙特阿拉伯,Saudi Arabia,Petrotrade,Organization,2010.0,,Petrotrade,Lubricants Distributor for Industrial  Commercial  and Automotive Sectors.  Petrotrade is a Saudi company  with its head office in Jeddah  founded by a highly respected group of individuals who are well versed in Local trade  Oil and Lubricant Technical processes  and Logistic related services. Petrotrade is a network marketing business that sells full range of Lubricants to the end consumers. We are a Multi-brand lubricant supplier company  Specializing in providing Lubrication Solutions to Industrial  Commercial & Automotive sectors. As a Multi-brand Lubricant supplier  we have an excellent reputation for quality  reliability and service. We have satisfied clients throughout Saudi market  our offices are based in Jeddah  Riyadh  Gizan and Dammam. Our keen knowledge of the Saudi market has helped us develop value added solutions that answer to the needs of today’s clients. We support customers with the industry’s best selection of branded products (Mobil  Shell  Total & Fuchs). Our philosophy is in creating a long-term relationship with clients so that the delivery of their products becomes a seamless experience that promotes loyalty and reliability. PETROTRADE is equipped to handle Lubricants’ deliveries and meet the needs of any size of operation.,
沙特阿拉伯,Saudi Arabia,Piping Systems Co.,Organization,2002.0,,Piping Systems Co.,Pan Gulf Piping Systems Ltd. (PGPS) was established in 2002 as a wholly owned subsidiary of Pan Gulf  a leading business group in the Middle East for the past 3 decades. Situated in the heart of Khobar on the Corniche  we began with the simple idea of providing top quality products to the booming industries in Saudi Arabia. Our long lasting commitment to supply our clients with only the best products & services earned us a loyal following with companies such as Saudi Aramco  Saudi Electricity Company  and SABIC to name a few.     The key to our success is quite simple  our long lasting commitment and dedication to our clients along with having the finest employees has eased our path to success. Our goal has always been to ensure industry leading customer satisfaction levels. Whether it was delivering on time  displaying utmost professionalism  or delivering the most sincere work ethics  we are continuously striving to move forward to ensure we meet and surpass our capabilities.     For more than 10 years  Pan Gulf Piping Systems has been proud to be offering our trustworthy clients the following quality products: Seamless Pipes  Welded Pipes  Flanges  Valves  Fittings  Hot induction bends  Fasteners  and more.,
沙特阿拉伯,Saudi Arabia,Plant Tech Arabia Co. Ltd.,Organization,2007.0,1001-5000,Plant Tech Arabia Co. Ltd.,Plant Tech Arabia Co. Ltd. provides plant maintenance services to refineries  petrochemical sector  and fertilizer plants. It offers catalyst handling  reactor and equipment maintenance  plant shutdown  bundle pulling  chemical cleaning  vacuum truck  hydro blasting  and sludge treatment services. The company is based in Jubail  Saudi Arabia. Plant Tech Arabia Co. Ltd. operates as a subsidiary of Plant-Tech Industrial Services Ltd.,
沙特阿拉伯,Saudi Arabia,Power Team Trading & Contracting Company,Organization,2015.0,,Power Team Trading & Contracting Company,We are a trading and contracting company based in Al-Khobar  Saudi Arabia. PTC is a rapidly growing organization  focused on serving the local Oil & Energy market. We are mainly operating in 5 divisions:  Logistics & Transportation Fire & Safety Training Oilfield and Safety equipments  Chemical clearance and storage  You can find more information on our products and services on our website: www.powerteamco.com,
沙特阿拉伯,Saudi Arabia,Principal Buyer,Organization,2017.0,501-1000,Principal Buyer,   We are the Driving Force and Key Enabler for the upcoming open and Competitive Electricity Market in the Kingdom of Saudi Arabia. ­Principal Buyer has a central role in facilitating market transition as a  Transformation Agent  and Its governance is a key enabler. It needs to give key Government bodies that have the target to transform the market the possibility to steer SPPC in the right direction and integrate relevant stakeholder views.,
沙特阿拉伯,Saudi Arabia,Professional Industrial Services,Organization,2014.0,1-10,Professional Industrial Services,Professionals Industrial Services is an independent organization providing supplementary services in non-destructive testing and Corrosion Monitoring for Engineering Industries & also at project sites. It deploys qualified personnel & approved equipments meet the specific requirement of the client industries,
沙特阿拉伯,Saudi Arabia,Qanbar Ready Mix | Al Ansari Holdings,Organization,1978.0,1001-5000,Qanbar Ready Mix | Al Ansari Holdings,Supplying the construction industry for more than 40 years with quality ready mix concrete products. Currently has 16 ready mix plants located throughout the Kingdom of Saudi Arabia.   Projects of note include Satorp  Wasit Gas Terminal  Sadara Oil Refinery and Jazan Refinery Project for Saudi Aramco contractors. It also supplies a number of large projects for The Royal Commission and SABIC.,
沙特阿拉伯,Saudi Arabia,Qemat Najd Oil Wells Services,Organization,2015.0,,Qemat Najd Oil Wells Services,Qemat Najd Oil Wells Services Company is a fully owned Saudi company (LLC) which was established in 2015 with a vision and a plan to localize the slickline services.   The company is an affiliate of (Al-Yamamh Company for Trading and Construction: https://yc.com.sa/ar) and its arm in the oil and gas industry.   Qemat Najd Company s main client is Saudi Aramco and in addition we are proviing our services to Baker Hughes  NESR and TAQA.   We pride ourselves to be the only Saudi company who managed to provide slickline services to Saudi Arabia and we are one of the few players who managed to work on high pressure-high tempoerature gas wells.   The company vision is to be the employer of choice and the leader in providing slickline services in Saudi Arabia and GCC by 2030.   For any enquiries please email us at: info@qne.com.sa,
沙特阿拉伯,Saudi Arabia,Quality & Excellence Co. Ltd,Organization,2000.0,501-1000,Quality & Excellence Co. Ltd,Q & E Company Ltd. is a well established Saudi Arabian based company with activities ranging from construction  commissioning  testing  Manpower Resourcing and Trading. We are a one hundred percent Saudi owned organization  managed and run by a group of people who have excellent business track records. Our management has many years of proven experience in the construction field of Saudi Arabia  particularly in the Petrochemical  oil  refineries general industries. We are committed to deliver premium levels of service to our customers in order to help them to achieve their goals. Our functional and technical expertise coupled with extensive industry knowledge will be always used for our clients benefit. We are continually expanding upon our knowledge and service to meet our clients need. We always maintain a clear and ethical standard of conduct. Our company business conducted in accordance with the law and stated corporate and societal standards. Our associates are held to the highest standard of integrity. Thanks to a single minded determination to provide the very best service and solutions to our clients. We have the ability to respond quickly to most challenges to give innovation  professional attitude  versatility  skill  dedication and motivation. These are the evidence for the outstanding success of Q & E. If you have any need for our service please give us the opportunity to consult with you  to allow us to give you the benefit of our facilities.  Q & E Company Ltd. –  History-rich in service  innovation  and continuing growth ,
